date,BTC Price,BTC network hashrate,Average BTC block size,NUAU - BTC,Number TX - BTC,Difficulty - BTC,TX fees - BTC,Estimated TX Volume USD - BTC,Gold in USD,Ethereum Price,Litecoin Price,Bitcoin Cash Price,Cardano Price,Nasdaq composite index,DJI
13/1/2018,13952.40,17087521.86,1.054668758,747265,300091,1931140000000,617.6357942,3261904630,#N/A,1270.47,236.88,2617.66,0.91741,#N/A,#N/A
12/1/2018,13453.90,18527481.57,1.057117456,822010,337959,1931140000000,697.4408335,3600871653,1326.8,1158.29,229.79,2475.9,0.695769,7261.060059,25803.18945
11/1/2018,14968.20,15935554.1,1.058194976,876989,347393,1931140000000,720.3257009,3931428179,1323.05,1268.09,251.52,2891.55,0.791522,7211.779785,25574.73047
10/1/2018,14588.50,15743559.47,1.054599348,919149,360265,1931140000000,752.4182028,3794067603,1319.75,1300.34,248.07,2390.02,0.815872,7153.569824,25369.13086
9/1/2018,15123.70,15935554.1,1.050648337,895996,345672,1931140000000,694.5264055,4040000008,1311,1146,254.61,2412.36,0.898185,7163.580078,25385.80078
8/1/2018,16476.20,15551564.84,1.047738315,910004,368187,1931140000000,686.1140025,4897713642,1319.95,1158.26,287.73,2786.6,0.999329,7157.390137,25283
7/1/2018,17527.30,16127548.73,1.054609161,889098,358847,1931140000000,694.4779056,3932860282,#N/A,1043.01,296.05,2784.68,1.02,#N/A,#N/A
6/1/2018,17462.10,13727615.88,1.067635797,888402,342707,1931140000000,701.3560209,5164208948,#N/A,995.15,249.77,2583.71,0.997,#N/A,#N/A
5/1/2018,15477.20,16127548.73,1.065832702,1054711,425008,1931140000000,778.2610948,4053543884,1317.15,975.75,241.03,2400.74,1.17,7136.560059,25295.86914
4/1/2018,15270.70,15071578.27,1.06551321,937530,395963,1931140000000,749.6854726,2850171441,1314.5,961.71,245.48,2608.87,1.09,7077.910156,25075.13086
3/1/2018,14978.20,16415540.67,1.041367596,850801,340980,1931140000000,649.1649763,3526212015,1314.9,886,255.7,2700.55,0.779681,7065.529785,24922.67969
2/1/2018,13625.00,14975580.96,1.0433825,593282,241757,1922580000000,469.4130365,2552418376,1312.05,772.35,228.99,2434.5,0.724676,7006.899902,24824.00977
